curated rulesSet,curated rule,ucid,title,curated rules coverage,curated rationale
Applied Threat Intelligence - Curated Prioritization/High Priority Host Indicators,Applied Threat Intelligence - Curated Prioritization/High Priority Host Indicators/ATI High Priority Rule Match for File IoCs (principal.process.file.sha256),9901,Rare Scripting Software Detected,very good,"The security objective is to detect malicious scripting activity that avoids common tools. The suggested curated rules are part of the 'Applied Threat Intelligence - Curated Prioritization' set and will trigger if the hash of a running process or a file on disk matches a known malicious indicator from Google's threat intelligence. This effectively detects known malicious or rare scripting tools without relying on potentially noisy keyword matching. Log Data Sources: EDR logs such as Microsoft Sysmon (WINDOWS_SYSMON), Crowdstrike Falcon (CS_EDR), SentinelOne (SENTINEL_EDR), Carbon Black (CB_EDR)."
Applied Threat Intelligence - Curated Prioritization/High Priority Host Indicators,Applied Threat Intelligence - Curated Prioritization/High Priority Host Indicators/ATI High Priority Rule Match for File IoCs (target.process.file.sha256),9901,Rare Scripting Software Detected,very good,"The security objective is to detect malicious scripting activity that avoids common tools. The suggested curated rules are part of the 'Applied Threat Intelligence - Curated Prioritization' set and will trigger if the hash of a running process or a file on disk matches a known malicious indicator from Google's threat intelligence. This effectively detects known malicious or rare scripting tools without relying on potentially noisy keyword matching. Log Data Sources: EDR logs such as Microsoft Sysmon (WINDOWS_SYSMON), Crowdstrike Falcon (CS_EDR), SentinelOne (SENTINEL_EDR), Carbon Black (CB_EDR)."
Applied Threat Intelligence - Curated Prioritization/High Priority Host Indicators,Applied Threat Intelligence - Curated Prioritization/High Priority Host Indicators/ATI High Priority Rule Match for File IoCs (target.file.sha256),9901,Rare Scripting Software Detected,very good,"The security objective is to detect malicious scripting activity that avoids common tools. The suggested curated rules are part of the 'Applied Threat Intelligence - Curated Prioritization' set and will trigger if the hash of a running process or a file on disk matches a known malicious indicator from Google's threat intelligence. This effectively detects known malicious or rare scripting tools without relying on potentially noisy keyword matching. Log Data Sources: EDR logs such as Microsoft Sysmon (WINDOWS_SYSMON), Crowdstrike Falcon (CS_EDR), SentinelOne (SENTINEL_EDR), Carbon Black (CB_EDR)."
Applied Threat Intelligence - Curated Prioritization/High Priority Host Indicators,Applied Threat Intelligence - Curated Prioritization/High Priority Host Indicators/ATI High Priority Rule Match for File IoCs (about.file.sha256),9901,Rare Scripting Software Detected,very good,"The security objective is to detect malicious scripting activity that avoids common tools. The suggested curated rules are part of the 'Applied Threat Intelligence - Curated Prioritization' set and will trigger if the hash of a running process or a file on disk matches a known malicious indicator from Google's threat intelligence. This effectively detects known malicious or rare scripting tools without relying on potentially noisy keyword matching. Log Data Sources: EDR logs such as Microsoft Sysmon (WINDOWS_SYSMON), Crowdstrike Falcon (CS_EDR), SentinelOne (SENTINEL_EDR), Carbon Black (CB_EDR)."
Risk Analytics for UEBA/New Login by User to Device,Risk Analytics for UEBA/New Login by User to Device/First Time Interactive Service Account Login by Principal User ID and Target Service Account,9902,Rare or Never Seen Events EventID Logged,partially,"The curated rule detects the first time a user interactively logs in with a service account, which aligns with the input rule's objective of identifying new or rare events. While the input rule is generic and looks for any new EventID, the curated rule applies the 'first seen' concept to a specific, high-value security scenario. Log Data Sources: Windows Security Events (WINDOWS_EVENT_LOG), Linux logs (NIX_SYSTEM), or various cloud/SaaS application logs that produce USER_LOGIN events."
N/A,N/A,9903,New Run/RunOnce Scheduled Task,no,"No equivalent curated rule was found that specifically detects persistence through the creation or modification of Run/RunOnce registry keys. The provided curated rules focus on IOC matching or high-level UEBA detections like anomalous logins and network traffic, which do not cover this specific persistence technique."
N/A,N/A,9206,Audit Log was deleted on domain controller,no,"No curated rule was found to cover the specific security objective of detecting the clearing of Windows Event Logs (EventID 1102), which is a key defense evasion technique. The provided rules focus on different threat vectors like IOC matching, anomalous network behavior, and authentication anomalies."
Applied Threat Intelligence - Curated Prioritization/Active Breach Priority Host Indicators,Applied Threat Intelligence - Curated Prioritization/Active Breach Priority Host Indicators/ATI Active Breach Rule Match for File IoCs (principal.process.file.sha256),9904,Unusual binary shutting down endpoint,very good,"The security objective is to detect malware initiating a system shutdown. While there isn't a specific curated rule for the shutdown event (EventID 1074), the Applied Threat Intelligence rules provide excellent coverage by detecting the malicious binary itself based on its file hash when it is executed or written to disk. This often provides an earlier detection of the threat. Log Data Sources: EDR (Carbon Black, Crowdstrike, SentinelOne, Microsoft Sysmon)."
Applied Threat Intelligence - Curated Prioritization/High Priority Host Indicators,Applied Threat Intelligence - Curated Prioritization/High Priority Host Indicators/ATI High Priority Rule Match for File IoCs (target.file.sha256),9904,Unusual binary shutting down endpoint,very good,"The security objective is to detect malware initiating a system shutdown. While there isn't a specific curated rule for the shutdown event (EventID 1074), the Applied Threat Intelligence rules provide excellent coverage by detecting the malicious binary itself based on its file hash when it is executed or written to disk. This often provides an earlier detection of the threat. Log Data Sources: EDR (Carbon Black, Crowdstrike, SentinelOne, Microsoft Sysmon)."
Applied Threat Intelligence - Curated Prioritization/Medium Priority Host Indicators,Applied Threat Intelligence - Curated Prioritization/Medium Priority Host Indicators/ATI Medium Priority Rule Match for File IoCs (principal.process.file.sha256),9904,Unusual binary shutting down endpoint,very good,"The security objective is to detect malware initiating a system shutdown. While there isn't a specific curated rule for the shutdown event (EventID 1074), the Applied Threat Intelligence rules provide excellent coverage by detecting the malicious binary itself based on its file hash when it is executed or written to disk. This often provides an earlier detection of the threat. Log Data Sources: EDR (Carbon Black, Crowdstrike, SentinelOne, Microsoft Sysmon)."
Applied Threat Intelligence - Curated Prioritization/Medium Priority Host Indicators,Applied Threat Intelligence - Curated Prioritization/Medium Priority Host Indicators/ATI Medium Priority Rule Match for File IoCs (target.file.sha256),9904,Unusual binary shutting down endpoint,very good,"The security objective is to detect malware initiating a system shutdown. While there isn't a specific curated rule for the shutdown event (EventID 1074), the Applied Threat Intelligence rules provide excellent coverage by detecting the malicious binary itself based on its file hash when it is executed or written to disk. This often provides an earlier detection of the threat. Log Data Sources: EDR (Carbon Black, Crowdstrike, SentinelOne, Microsoft Sysmon)."
